"Statistic Label","Year","County","Type of Small Public Service Vehicle","UNIT","VALUE"
"Small public service vehicles","2019","Co. Tipperary","Wheelchair Accessible Taxi","Number","6"
"Small public service vehicles","2019","Co. Waterford","All small public Service vehicles","Number","257"
"Small public service vehicles","2019","Co. Waterford","Hackney","Number","19"
"Small public service vehicles","2019","Co. Waterford","Limousine","Number","49"
"Small public service vehicles","2019","Co. Waterford","Taxi","Number","157"
"Small public service vehicles","2019","Co. Waterford","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2019","Co. Waterford","Wheelchair Accessible Taxi","Number","30"
"Small public service vehicles","2019","Co. Wicklow","All small public Service vehicles","Number","348"
"Small public service vehicles","2019","Co. Wicklow","Hackney","Number","34"
"Small public service vehicles","2019","Co. Wicklow","Limousine","Number","65"
"Small public service vehicles","2019","Co. Wicklow","Taxi","Number","206"
"Small public service vehicles","2019","Co. Wicklow","Wheelchair Accessible Hackney","Number","1"
"Small public service vehicles","2019","Co. Wicklow","Wheelchair Accessible Taxi","Number","42"
"Small public service vehicles","2019","Co. Westmeath","All small public Service vehicles","Number","269"
"Small public service vehicles","2019","Co. Westmeath","Hackney","Number","13"
"Small public service vehicles","2019","Co. Westmeath","Limousine","Number","23"
"Small public service vehicles","2019","Co. Westmeath","Taxi","Number","193"
"Small public service vehicles","2019","Co. Westmeath","Wheelchair Accessible Hackney","Number",""
"Small public service vehicles","2019","Co. Westmeath","Wheelchair Accessible Taxi","Number","40"
"Small public service vehicles","2019","Co. Wexford","All small public Service vehicles","Number","238"
"Small public service vehicles","2019","Co. Wexford","Hackney","Number","53"
"Small public service vehicles","2019","Co. Wexford","Limousine","Number","46"
"Small public service vehicles","2019","Co. Wexford","Taxi","Number","108"
"Small public service vehicles","2019","Co. Wexford","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2019","Co. Wexford","Wheelchair Accessible Taxi","Number","27"
"Small public service vehicles","2019","Total","All small public Service vehicles","Number","21326"
"Small public service vehicles","2019","Total","Hackney","Number","1350"
"Small public service vehicles","2019","Total","Limousine","Number","2104"
"Small public service vehicles","2019","Total","Taxi","Number","14795"
"Small public service vehicles","2019","Total","Wheelchair Accessible Hackney","Number","120"
"Small public service vehicles","2019","Total","Wheelchair Accessible Taxi","Number","2957"
"Small public service vehicles","2020","Co. Clare","All small public Service vehicles","Number","301"
"Small public service vehicles","2020","Co. Clare","Hackney","Number","58"
"Small public service vehicles","2020","Co. Clare","Limousine","Number","93"
"Small public service vehicles","2020","Co. Clare","Taxi","Number","125"
"Small public service vehicles","2020","Co. Clare","Wheelchair Accessible Hackney","Number","12"
"Small public service vehicles","2020","Co. Clare","Wheelchair Accessible Taxi","Number","14"
"Small public service vehicles","2020","Co. Cork","All small public Service vehicles","Number","1644"
"Small public service vehicles","2020","Co. Cork","Hackney","Number","197"
"Small public service vehicles","2020","Co. Cork","Limousine","Number","192"
"Small public service vehicles","2020","Co. Cork","Taxi","Number","1039"
"Small public service vehicles","2020","Co. Cork","Wheelchair Accessible Hackney","Number","9"
"Small public service vehicles","2020","Co. Cork","Wheelchair Accessible Taxi","Number","207"
"Small public service vehicles","2020","Co. Cavan","All small public Service vehicles","Number","112"
"Small public service vehicles","2020","Co. Cavan","Hackney","Number","24"
"Small public service vehicles","2020","Co. Cavan","Limousine","Number","3"
"Small public service vehicles","2020","Co. Cavan","Taxi","Number","60"
"Small public service vehicles","2020","Co. Cavan","Wheelchair Accessible Hackney","Number","3"
"Small public service vehicles","2020","Co. Cavan","Wheelchair Accessible Taxi","Number","23"
"Small public service vehicles","2020","Co. Carlow","All small public Service vehicles","Number","128"
"Small public service vehicles","2020","Co. Carlow","Hackney","Number","9"
"Small public service vehicles","2020","Co. Carlow","Limousine","Number","9"
"Small public service vehicles","2020","Co. Carlow","Taxi","Number","79"
"Small public service vehicles","2020","Co. Carlow","Wheelchair Accessible Hackney","Number","1"
"Small public service vehicles","2020","Co. Carlow","Wheelchair Accessible Taxi","Number","30"
"Small public service vehicles","2020","Co. Donegal","All small public Service vehicles","Number","296"
"Small public service vehicles","2020","Co. Donegal","Hackney","Number","100"
"Small public service vehicles","2020","Co. Donegal","Limousine","Number","34"
"Small public service vehicles","2020","Co. Donegal","Taxi","Number","126"
"Small public service vehicles","2020","Co. Donegal","Wheelchair Accessible Hackney","Number","19"
"Small public service vehicles","2020","Co. Donegal","Wheelchair Accessible Taxi","Number","21"
"Small public service vehicles","2020","Co. Galway","All small public Service vehicles","Number","885"
"Small public service vehicles","2020","Co. Galway","Hackney","Number","72"
"Small public service vehicles","2020","Co. Galway","Limousine","Number","116"
"Small public service vehicles","2020","Co. Galway","Taxi","Number","485"
"Small public service vehicles","2020","Co. Galway","Wheelchair Accessible Hackney","Number","6"
"Small public service vehicles","2020","Co. Galway","Wheelchair Accessible Taxi","Number","208"
"Small public service vehicles","2020","Dublin","All small public Service vehicles","Number","10236"
"Small public service vehicles","2020","Dublin","Hackney","Number","17"
"Small public service vehicles","2020","Dublin","Limousine","Number","465"
"Small public service vehicles","2020","Dublin","Taxi","Number","8009"
"Small public service vehicles","2020","Dublin","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2020","Dublin","Wheelchair Accessible Taxi","Number","1743"
"Small public service vehicles","2020","Co. Kildare","All small public Service vehicles","Number","725"
"Small public service vehicles","2020","Co. Kildare","Hackney","Number","58"
"Small public service vehicles","2020","Co. Kildare","Limousine","Number","76"
"Small public service vehicles","2020","Co. Kildare","Taxi","Number","464"
"Small public service vehicles","2020","Co. Kildare","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2020","Co. Kildare","Wheelchair Accessible Taxi","Number","123"
"Small public service vehicles","2020","Co. Kilkenny","All small public Service vehicles","Number","170"
"Small public service vehicles","2020","Co. Kilkenny","Hackney","Number","16"
"Small public service vehicles","2020","Co. Kilkenny","Limousine","Number","10"
"Small public service vehicles","2020","Co. Kilkenny","Taxi","Number","102"
"Small public service vehicles","2020","Co. Kilkenny","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2020","Co. Kilkenny","Wheelchair Accessible Taxi","Number","36"
"Small public service vehicles","2020","Co. Kerry","All small public Service vehicles","Number","443"
"Small public service vehicles","2020","Co. Kerry","Hackney","Number","68"
"Small public service vehicles","2020","Co. Kerry","Limousine","Number","172"
"Small public service vehicles","2020","Co. Kerry","Taxi","Number","169"
"Small public service vehicles","2020","Co. Kerry","Wheelchair Accessible Hackney","Number","0"
"Small public service vehicles","2020","Co. Kerry","Wheelchair Accessible Taxi","Number","35"
"Small public service vehicles","2020","Co. Longford","All small public Service vehicles","Number","74"
"Small public service vehicles","2020","Co. Longford","Hackney","Number","15"
"Small public service vehicles","2020","Co. Longford","Limousine","Number","7"
"Small public service vehicles","2020","Co. Longford","Taxi","Number","43"
"Small public service vehicles","2020","Co. Longford","Wheelchair Accessible Hackney","Number","0"
"Small public service vehicles","2020","Co. Longford","Wheelchair Accessible Taxi","Number","9"
"Small public service vehicles","2020","Co. Louth","All small public Service vehicles","Number","533"
"Small public service vehicles","2020","Co. Louth","Hackney","Number","27"
"Small public service vehicles","2020","Co. Louth","Limousine","Number","65"
"Small public service vehicles","2020","Co. Louth","Taxi","Number","383"
"Small public service vehicles","2020","Co. Louth","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2020","Co. Louth","Wheelchair Accessible Taxi","Number","56"
"Small public service vehicles","2020","Co. Limerick","All small public Service vehicles","Number","592"
"Small public service vehicles","2020","Co. Limerick","Hackney","Number","30"
"Small public service vehicles","2020","Co. Limerick","Limousine","Number","132"
"Small public service vehicles","2020","Co. Limerick","Taxi","Number","365"
"Small public service vehicles","2020","Co. Limerick","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2020","Co. Limerick","Wheelchair Accessible Taxi","Number","61"
"Small public service vehicles","2020","Co. Leitrim","All small public Service vehicles","Number","50"
"Small public service vehicles","2020","Co. Leitrim","Hackney","Number","13"
"Small public service vehicles","2020","Co. Leitrim","Limousine","Number","2"
"Small public service vehicles","2020","Co. Leitrim","Taxi","Number","28"
"Small public service vehicles","2020","Co. Leitrim","Wheelchair Accessible Hackney","Number","0"
"Small public service vehicles","2020","Co. Leitrim","Wheelchair Accessible Taxi","Number","7"
"Small public service vehicles","2020","Co. Laois","All small public Service vehicles","Number","226"
"Small public service vehicles","2020","Co. Laois","Hackney","Number","18"
"Small public service vehicles","2020","Co. Laois","Limousine","Number","13"
"Small public service vehicles","2020","Co. Laois","Taxi","Number","130"
"Small public service vehicles","2020","Co. Laois","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2020","Co. Laois","Wheelchair Accessible Taxi","Number","58"
"Small public service vehicles","2020","Co. Meath","All small public Service vehicles","Number","1026"
"Small public service vehicles","2020","Co. Meath","Hackney","Number","29"
"Small public service vehicles","2020","Co. Meath","Limousine","Number","93"
"Small public service vehicles","2020","Co. Meath","Taxi","Number","750"
"Small public service vehicles","2020","Co. Meath","Wheelchair Accessible Hackney","Number","1"
"Small public service vehicles","2020","Co. Meath","Wheelchair Accessible Taxi","Number","154"
"Small public service vehicles","2020","Co. Monaghan","All small public Service vehicles","Number","64"
"Small public service vehicles","2020","Co. Monaghan","Hackney","Number","27"
"Small public service vehicles","2020","Co. Monaghan","Limousine","Number","13"
"Small public service vehicles","2020","Co. Monaghan","Taxi","Number","6"
"Small public service vehicles","2020","Co. Monaghan","Wheelchair Accessible Hackney","Number","7"
"Small public service vehicles","2020","Co. Monaghan","Wheelchair Accessible Taxi","Number","12"
"Small public service vehicles","2020","Co. Mayo","All small public Service vehicles","Number","231"
"Small public service vehicles","2020","Co. Mayo","Hackney","Number","61"
"Small public service vehicles","2020","Co. Mayo","Limousine","Number","43"
"Small public service vehicles","2020","Co. Mayo","Taxi","Number","101"
"Small public service vehicles","2020","Co. Mayo","Wheelchair Accessible Hackney","Number","8"
"Small public service vehicles","2020","Co. Mayo","Wheelchair Accessible Taxi","Number","21"
"Small public service vehicles","2020","Co. Offaly","All small public Service vehicles","Number","130"
"Small public service vehicles","2020","Co. Offaly","Hackney","Number","46"
"Small public service vehicles","2020","Co. Offaly","Limousine","Number","19"
"Small public service vehicles","2020","Co. Offaly","Taxi","Number","51"
"Small public service vehicles","2020","Co. Offaly","Wheelchair Accessible Hackney","Number","1"
"Small public service vehicles","2020","Co. Offaly","Wheelchair Accessible Taxi","Number","13"
"Small public service vehicles","2020","Co. Roscommon","All small public Service vehicles","Number","103"
"Small public service vehicles","2020","Co. Roscommon","Hackney","Number","42"
"Small public service vehicles","2020","Co. Roscommon","Limousine","Number","11"
"Small public service vehicles","2020","Co. Roscommon","Taxi","Number","31"
"Small public service vehicles","2020","Co. Roscommon","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2020","Co. Roscommon","Wheelchair Accessible Taxi","Number","17"
"Small public service vehicles","2020","Co. Sligo","All small public Service vehicles","Number","146"
"Small public service vehicles","2020","Co. Sligo","Hackney","Number","10"
"Small public service vehicles","2020","Co. Sligo","Limousine","Number","20"
"Small public service vehicles","2020","Co. Sligo","Taxi","Number","99"
"Small public service vehicles","2020","Co. Sligo","Wheelchair Accessible Hackney","Number","3"
"Small public service vehicles","2020","Co. Sligo","Wheelchair Accessible Taxi","Number","14"
"Small public service vehicles","2020","Co. Tipperary","All small public Service vehicles","Number","224"
"Small public service vehicles","2020","Co. Tipperary","Hackney","Number","96"
"Small public service vehicles","2020","Co. Tipperary","Limousine","Number","80"
"Small public service vehicles","2020","Co. Tipperary","Taxi","Number","32"
"Small public service vehicles","2020","Co. Tipperary","Wheelchair Accessible Hackney","Number","13"
"Small public service vehicles","2020","Co. Tipperary","Wheelchair Accessible Taxi","Number","7"
"Small public service vehicles","2020","Co. Waterford","All small public Service vehicles","Number","239"
"Small public service vehicles","2020","Co. Waterford","Hackney","Number","17"
"Small public service vehicles","2020","Co. Waterford","Limousine","Number","42"
"Small public service vehicles","2020","Co. Waterford","Taxi","Number","145"
"Small public service vehicles","2020","Co. Waterford","Wheelchair Accessible Hackney","Number","2"
"Small public service vehicles","2020","Co. Waterford","Wheelchair Accessible Taxi","Number","34"
"Small public service vehicles","2020","Co. Wicklow","All small public Service vehicles","Number","307"
"Small public service vehicles","2020","Co. Wicklow","Hackney","Number","27"
"Small public service vehicles","2020","Co. Wicklow","Limousine","Number","55"
"Small public service vehicles","2020","Co. Wicklow","Taxi","Number","179"
"Small public service vehicles","2020","Co. Wicklow","Wheelchair Accessible Hackney","Number","1"
"Small public service vehicles","2020","Co. Wicklow","Wheelchair Accessible Taxi","Number","45"
"Small public service vehicles","2020","Co. Westmeath","All small public Service vehicles","Number","254"
"Small public service vehicles","2020","Co. Westmeath","Hackney","Number","13"
"Small public service vehicles","2020","Co. Westmeath","Limousine","Number","20"
"Small public service vehicles","2020","Co. Westmeath","Taxi","Number","179"
"Small public service vehicles","2020","Co. Westmeath","Wheelchair Accessible Hackney","Number","0"
"Small public service vehicles","2020","Co. Westmeath","Wheelchair Accessible Taxi","Number","43"
"Small public service vehicles","2020","Co. Wexford","All small public Service vehicles","Number","208"
"Small public service vehicles","2020","Co. Wexford","Hackney","Number","46"
"Small public service vehicles","2020","Co. Wexford","Limousine","Number","42"
"Small public service vehicles","2020","Co. Wexford","Taxi","Number","94"
"Small public service vehicles","2020","Co. Wexford","Wheelchair Accessible Hackney","Number","4"
"Small public service vehicles","2020","Co. Wexford","Wheelchair Accessible Taxi","Number","22"
"Small public service vehicles","2020","Total","All small public Service vehicles","Number","19347"
"Small public service vehicles","2020","Total","Hackney","Number","1136"
"Small public service vehicles","2020","Total","Limousine","Number","1827"
"Small public service vehicles","2020","Total","Taxi","Number","13253"
"Small public service vehicles","2020","Total","Wheelchair Accessible Hackney","Number","118"
"Small public service vehicles","2020","Total","Wheelchair Accessible Taxi","Number","3013"
"Small public service vehicles","2021","Co. Clare","All small public Service vehicles","Number","304"
"Small public service vehicles","2021","Co. Clare","Hackney","Number","55"
"Small public service vehicles","2021","Co. Clare","Limousine","Number","92"
"Small public service vehicles","2021","Co. Clare","Taxi","Number","119"
"Small public service vehicles","2021","Co. Clare","Wheelchair Accessible Hackney","Number","21"
"Small public service vehicles","2021","Co. Clare","Wheelchair Accessible Taxi","Number","17"
"Small public service vehicles","2021","Co. Cork","All small public Service vehicles","Number","1607"
"Small public service vehicles","2021","Co. Cork","Hackney","Number","176"
"Small public service vehicles","2021","Co. Cork","Limousine","Number","200"
"Small public service vehicles","2021","Co. Cork","Taxi","Number","1000"
"Small public service vehicles","2021","Co. Cork","Wheelchair Accessible Hackney","Number","221"
"Small public service vehicles","2021","Co. Cork","Wheelchair Accessible Taxi","Number","10"
"Small public service vehicles","2021","Co. Cavan","All small public Service vehicles","Number","109"
"Small public service vehicles","2021","Co. Cavan","Hackney","Number","23"
"Small public service vehicles","2021","Co. Cavan","Limousine","Number","5"
"Small public service vehicles","2021","Co. Cavan","Taxi","Number","54"
"Small public service vehicles","2021","Co. Cavan","Wheelchair Accessible Hackney","Number","24"
"Small public service vehicles","2021","Co. Cavan","Wheelchair Accessible Taxi","Number","3"
"Small public service vehicles","2021","Co. Carlow","All small public Service vehicles","Number","120"
"Small public service vehicles","2021","Co. Carlow","Hackney","Number","8"
"Small public service vehicles","2021","Co. Carlow","Limousine","Number","11"
"Small public service vehicles","2021","Co. Carlow","Taxi","Number","71"
"Small public service vehicles","2021","Co. Carlow","Wheelchair Accessible Hackney","Number","29"
"Small public service vehicles","2021","Co. Carlow","Wheelchair Accessible Taxi","Number","1"
"Small public service vehicles","2021","Co. Donegal","All small public Service vehicles","Number","296"
"Small public service vehicles","2021","Co. Donegal","Hackney","Number","96"
"Small public service vehicles","2021","Co. Donegal","Limousine","Number","36"
"Small public service vehicles","2021","Co. Donegal","Taxi","Number","111"
"Small public service vehicles","2021","Co. Donegal","Wheelchair Accessible Hackney","Number","28"
"Small public service vehicles","2021","Co. Donegal","Wheelchair Accessible Taxi","Number","25"
"Small public service vehicles","2021","Co. Galway","All small public Service vehicles","Number","841"
"Small public service vehicles","2021","Co. Galway","Hackney","Number","58"
"Small public service vehicles","2021","Co. Galway","Limousine","Number","106"
"Small public service vehicles","2021","Co. Galway","Taxi","Number","461"
"Small public service vehicles","2021","Co. Galway","Wheelchair Accessible Hackney","Number","211"
"Small public service vehicles","2021","Co. Galway","Wheelchair Accessible Taxi","Number","5"
"Small public service vehicles","2021","Dublin","All small public Service vehicles","Number","10055"
"Small public service vehicles","2021","Dublin","Hackney","Number","17"
"Small public service vehicles","2021","Dublin","Limousine","Number","417"
"Small public service vehicles","2021","Dublin","Taxi","Number","7838"
"Small public service vehicles","2021","Dublin","Wheelchair Accessible Hackney","Number","1781"
"Small public service vehicles","2021","Dublin","Wheelchair Accessible Taxi","Number","2"
"Small public service vehicles","2021","Co. Kildare","All small public Service vehicles","Number","711"
"Small public service vehicles","2021","Co. Kildare","Hackney","Number","55"
"Small public service vehicles","2021","Co. Kildare","Limousine","Number","73"
"Small public service vehicles","2021","Co. Kildare","Taxi","Number","446"
"Small public service vehicles","2021","Co. Kildare","Wheelchair Accessible Hackney","Number","133"
"Small public service vehicles","2021","Co. Kildare","Wheelchair Accessible Taxi","Number","4"
"Small public service vehicles","2021","Co. Kilkenny","All small public Service vehicles","Number","173"
"Small public service vehicles","2021","Co. Kilkenny","Hackney","Number","14"
"Small public service vehicles","2021","Co. Kilkenny","Limousine","Number","13"
"Small public service vehicles","2021","Co. Kilkenny","Taxi","Number","98"
"Small public service vehicles","2021","Co. Kilkenny","Wheelchair Accessible Hackney","Number","41"
"Small public service vehicles","2021","Co. Kilkenny","Wheelchair Accessible Taxi","Number","7"
"Small public service vehicles","2021","Co. Kerry","All small public Service vehicles","Number","447"
"Small public service vehicles","2021","Co. Kerry","Hackney","Number","60"
"Small public service vehicles","2021","Co. Kerry","Limousine","Number","191"
"Small public service vehicles","2021","Co. Kerry","Taxi","Number","157"
"Small public service vehicles","2021","Co. Kerry","Wheelchair Accessible Hackney","Number","36"
"Small public service vehicles","2021","Co. Kerry","Wheelchair Accessible Taxi","Number","3"
"Small public service vehicles","2021","Co. Longford","All small public Service vehicles","Number","70"
"Small public service vehicles","2021","Co. Longford","Hackney","Number","14"
"Small public service vehicles","2021","Co. Longford","Limousine","Number","7"
